Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Shardul Securities Ltd.,512393,SHRIYAMSEC,INE037B01012,Financial,Equipment Leasing,2022-06-16,89,-5.97,55.45,135.25,155.74,121.19
Share India Securities Ltd.,540725,SHAREINDIA,INE932X01018,Financial,Brokerage Services,2022-06-16,"1,135.85",-3.75,417.05,"1,475.00","3,653.30","3,504.82"
Sharika Enterprises Ltd.,540786,,INE669Y01022,Construction,Construction,2022-06-16,10.64,-5.51,8,37.05,46.76,62.02
Sharp India Ltd.,523449,KALYANISHP,INE207B01011,Consumer Discretionary,Consumer Electronics,2022-06-16,53.35,-4.82,25.6,84.4,142.69,195.01
Sharp Investments Ltd.,538212,,INE909D01026,Financial,Misc. Fin.services,2022-06-16,1.8,-4.76,0.51,6.97,43.58,44.32
Sharpline Broadcast Ltd.,543341,,INE647W01014,Services,Media & Entertainment,2022-06-16,45.75,-4.98,7,55.95,52.61,54.53
Shashank Traders Ltd.,540221,,INE508R01018,Services,Trading,2022-04-04,8,0,8,17.05,2.48,2.47
Shashijit Infraprojects Ltd.,540147,,INE700V01013,Construction,Construction,2022-06-16,19.2,0,17.1,34,19.86,26.73
Shashwat Furnishing Solutions Ltd,543519,,INE0JMN01019,Consumer Staples,Household & Personal Products,2022-06-10,40.9,0.49,40.7,47,8.54,8.53
Sheela Foam Ltd.,540203,SFL,INE916U01025,Consumer Discretionary,Home Furnishings,2022-06-16,"2,733.25",-2.6,"2,150.30","4,055.00","13,376.98","13,816.11"
Sheetal Cool Products Ltd.,540757,,INE501Y01019,Consumer Staples,Food Processing,2022-06-16,426.1,-6.76,126,580,462,547.11
Sheetal Diamonds Ltd.,530525,,INE786J01025,Consumer Discretionary,"Gems, Jewellery & Accessories",2022-06-16,5.94,-4.96,1.49,15.69,6.23,5.87
Shekhawati Poly Yarn Ltd.,533301,SPYL,INE268L01020,Textiles,Textile Processing,2022-06-13,0.6,9.09,0.5,0.85,22.41,214.9
Shelter Infra Projects Ltd.,526839,,INE413C01013,Construction,Infrastructure,2022-06-16,17.65,-4.85,9.35,22.8,6.62,22.98
Shemaroo Entertainment Ltd.,538685,SHEMAROO,INE363M01019,Services,Media & Entertainment,2022-06-16,99.2,-2.79,98,177.75,275.76,542.83
Shervani Industrial Syndicate Ltd.,526117,,INE011D01013,Construction,Construction,2022-06-16,210.1,-3.95,200,379.95,57.13,46.29
Sheshadri Industries Ltd.,539111,,INE193R01019,Textiles,Textile Processing,2022-06-16,22.3,-4.09,4.08,36.6,11.06,58.71
Shetron Ltd.,526137,SHETRON,INE278C01010,Metals & Mining,Other Metal Products,2022-06-16,42.6,6.63,27.5,55,35.97,104.78
Shigan Quantum Technologies Ltd.,,SHIGAN,INE03KJ01013,Automobile,Auto Ancillaries,2022-06-16,87,-5.95,,,153.21,165.84
Shilchar Technologies Ltd.,531201,,INE024F01011,Capital Goods,Transformers,2022-06-16,513,-5.95,181,720,204.59,212.91
Shilpa Medicare Ltd.,530549,SHILPAMED,INE790G01031,Healthcare,Drugs & Pharma,2022-06-16,411.15,-5.58,385,670.95,"3,600.98","4,486.45"
Shilp Gravures Ltd.,513709,,INE960A01017,Capital Goods,Industrial Machinery,2022-06-16,84,-1.18,80,131.8,51.81,41.89
Shine Fashion (India) Ltd.,543244,,INE0BLY01023,Services,Trading,2022-05-25,54,-1.82,37.5,86,15.11,15.77
