Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Career Point Ltd.,533260,CAREERP,INE521J01018,Services,Education,2022-06-16,107.5,-3.93,102.25,184.5,197.48,239.71
Care Ratings Ltd.,534804,CARERATING,INE752H01013,Services,Credit Ratings & Information,2022-06-16,422.7,-3.27,403,791.15,"1,250.94",809.28
Carnation Industries Ltd.,530609,,INE081B01010,Metals & Mining,Castings & Forgings,2022-06-13,6.42,-0.16,4.05,8.4,2.22,-3.35
CarTrade Tech Ltd.,543333,CARTRADE,INE290S01011,Services,Misc.Other Services,2022-06-16,616,-2.7,460,"1,618.00","2,916.29","2,299.83"
Caspian Corporate Services Ltd.,534732,,INE176N01021,Financial,Misc. Fin.services,2022-06-16,9.16,4.93,2.66,10,26.49,26.94
Castex Technologies Ltd.,532282,CASTEXTECH,INE068D01021,Automobile,Auto Ancillaries,2021-07-20,0.8,6.67,0.2,0.9,24.2,"6,491.67"
Castrol India Ltd.,500870,CASTROLIND,INE172A01027,Chemicals,Lubricants & Grease,2022-06-16,102.1,-1.3,99.05,151.7,"10,079.16","8,961.93"
Cat Technologies Ltd.,531682,,INE170B01037,Financial,Business Consultancy,2021-12-27,0.76,4.11,0.56,0.93,6.04,19.73
Catvision Ltd.,531158,,INE660B01011,Capital Goods,Electronic Equipment,2022-06-16,8.83,-4.95,7.13,18.4,4.82,10.86
C&C Constructions Ltd.,532813,CANDC,INE874H01015,Construction,Construction,2022-06-16,3.85,-2.53,2.65,9.07,9.8,"2,025.47"
CCL International Ltd.,531900,,INE778E01031,Construction,Infrastructure,2022-06-16,16.6,9.93,12.35,33.35,31.86,32.15
CCL Products (India) Ltd.,519600,CCL,INE421D01022,Consumer Staples,Tea & Coffee,2022-06-16,349.9,-1.39,310,514.95,"4,655.98","5,157.32"
CDG Petchem Ltd.,534796,,INE198N01017,Materials,Plastic Sheets,2022-06-16,16.3,-4.96,12.65,27.45,5.02,23.36
Ceat Ltd.,500878,CEATLTD,INE482A01020,Automobile,Tyres & Tubes,2022-06-16,917.35,-2.3,910,"1,477.75","3,730.91","5,856.10"
Ceejay Finance Ltd.,530789,,INE358C01010,Financial,Misc. Fin.services,2022-06-16,105,3.45,77,127.9,36.92,51
Ceenik Exports (India) Ltd.,531119,CEENIKEXPO,INE418D01010,Textiles,Readymade Garments,2022-06-16,15.9,-4.79,5,23.15,5.33,19.87
Ceeta Industries Ltd.,514171,,INE760J01012,Materials,Granite & Stones,2022-06-16,16.45,1.54,6.35,27.35,23.86,15.9
C.E. Info Systems Ltd.,543425,MAPMYINDIA,INE0BV301023,Technology,Software,2022-06-16,"1,301.75",-2.67,"1,128.80","1,918.35","6,942.62","6,897.54"
Ceinsys Tech Ltd.,538734,,INE016Q01014,Technology,Software,2022-06-16,148,-3.43,122.8,253.25,238.42,313.41
Celebrity Fashions Ltd.,532695,CELEBRITY,INE185H01016,Textiles,Readymade Garments,2022-06-16,12.9,-5.84,7.25,22.3,68.88,150.91
Cella Space Ltd.,532701,,INE266H01014,Consumer Staples,Paper,2022-06-15,4.82,-4.74,4.37,8,9.23,58.53
Cenlub Industries Ltd.,522251,,INE627F01011,Capital Goods,Industrial Machinery,2022-06-16,117.9,-0.25,69.05,155,55.26,54.19
Centenial Surgical Suture Ltd.,531380,,INE405H01018,Healthcare,Medical Devices & Equipment,2022-06-10,48,-9.43,42.45,76,17.51,30.45
Centerac Technologies Ltd.,531621,,INE157B01026,Technology,Software,2022-05-30,2.91,0,1.24,2.91,3.21,3.21
Central Bank Of India,532885,CENTRALBK,INE483A01010,Financial,Banking,2022-06-16,16.45,-3.24,16.3,29.65,"14,280.15","-18,436.51"
Central Depository Services (India) Ltd.,,CDSL,INE736A01011,Financial,Misc. Fin.services,2022-06-16,"1,107.50",-2.5,,,"11,570.24","11,120.09"
Centrum Capital Ltd.,501150,CENTRUM,INE660C01027,Financial,Misc. Fin.services,2022-06-16,19.25,-6.55,18.2,58.5,823.74,"2,294.03"
Centum Electronics Ltd.,517544,CENTUM,INE320B01020,Capital Goods,Electronic Components,2022-06-16,411.5,-2.99,387.25,659.9,509.72,799.85
Century Enka Ltd.,500280,CENTENKA,INE485A01015,Textiles,Synthetic Yarn,2022-06-16,466.85,-4.43,362.6,675,"1,022.61",728.72
Century Extrusions Ltd.,500083,CENTEXT,INE281A01026,Metals & Mining,Aluminium Prod.,2022-06-16,9.1,-10.78,7.85,15.77,76.88,110.08
Century Plyboards (India) Ltd.,532548,CENTURYPLY,INE348B01021,Materials,Wood,2022-06-16,519.65,-2.56,341.8,749,"11,467.46","11,759.04"
Century Textiles & Industries Ltd.,500040,CENTURYTEX,INE055A01016,Consumer Staples,Paper,2022-06-16,752.2,-3.3,545.15,"1,025.00","8,401.75","9,541.35"
Cera Sanitaryware Ltd.,532443,CERA,INE739E01017,Materials,Ceramic tiles,2022-06-16,"4,082.70",1.01,"3,515.00","6,450.00","5,329.22","4,807.85"
Cerebra Integrated Technologies Ltd.,532413,CEREBRAINT,INE345B01019,Technology,Computer Hardware,2022-06-16,51.4,-3.29,51,99,579.53,603.72
CESC Ltd.,500084,CESC,INE486A01021,Energy,Electricity Generation,2022-06-16,74.3,-3.13,72.2,102.45,"9,974.92","22,175.10"
CES Ltd.,512341,,INE396F01013,Financial,Misc. Fin.services,2022-04-27,0.42,5,0.3,0.42,1.53,-73.61
CFSL Ltd.,511710,,INE717D01023,Financial,Misc. Fin.services,2022-06-16,2.1,-4.55,0.96,4.97,13.69,14.19
CG Power & Industrial Solutions Ltd.,500093,CGPOWER,INE067A01029,Capital Goods,Electrical Machinery,2022-06-16,166.15,-2.89,71.7,219.65,"25,441.10","27,059.21"
C G-V A K Software & Exports Ltd.,531489,,INE084D01010,Technology,Software,2022-06-16,325,0.6,137,391.7,163.78,144.47
Chalet Hotels Ltd.,542399,CHALET,INE427F01016,Services,Hotels,2022-06-16,289.95,-1.63,159.05,332.7,"5,924.16","8,046.41"
Chaman Lal Setia Exports Ltd.,530307,CLSEL,INE419D01026,Consumer Staples,Other Agriculture Products,2022-06-16,96.75,-3.59,83.1,155,505.18,550.03
Chambal Breweries & Distilleries Ltd.,512301,,INE417N01011,Consumer Staples,Beer,2022-06-16,2.52,5,2.09,4.95,1.89,1.6
Chambal Fertilisers & Chemicals Ltd.,500085,CHAMBLFERT,INE085A01013,Chemicals,Nitrogenous Fertilizer.,2022-06-16,299.3,-6.45,291.2,516,"12,500.80","16,333.82"
Chandni Machines Ltd.,542627,,INE01GZ01011,Services,Retailing,2022-06-16,26.9,-0.19,7.5,35.15,8.71,6.63
Chandra Bhagat Pharma Ltd.,542934,,INE07QQ01016,Healthcare,Drugs & Pharma,2022-06-16,94.65,0,60,148.5,70.92,95.66
Chandra Prabhu International Ltd.,530309,,INE368D01017,Materials,Coal & Lignite,2022-06-16,183.3,-3.37,35,301,68.25,71.97
Chandrima Mercantiles Ltd.,540829,,INE371F01016,Financial,Investment Services,2022-06-16,4.14,2.48,3.48,6.13,0.92,0.88
Charms Industries Ltd.,531327,,INE442C01012,Financial,Business Consultancy,2022-06-16,3.49,0,1.96,5.17,1.43,1.21
Chartered Capital & Investment Ltd.,511696,,INE953B01010,Financial,Investment Services,2022-05-23,112.05,0,45.95,134.55,33.74,30.85
Chartered Logistics Ltd.,531977,,INE558F01026,Services,Logistics,2022-06-16,6.12,-3.32,4.66,23.55,61.09,110.4
CHD Chemicals Ltd.,539800,,INE043U01010,Services,Trading,2022-06-16,7.1,-7.19,6.25,16.97,7.77,13.33
Chembond Chemicals Ltd.,530871,CHEMBOND,INE995D01025,Chemicals,Misc.Chem.,2022-06-16,159.8,-1.54,158.15,287.3,214.1,157.38
Chemcon Speciality Chemicals Ltd.,543233,CHEMCON,INE03YM01018,Chemicals,Misc.Chem.,2022-06-16,275.8,-1.92,261,569.4,"1,012.66",911.59
Chemcrux Enterprises Ltd.,540395,,INE298W01016,Chemicals,Organic Chemicals,2022-06-16,270.75,-2.89,85.35,299,406.5,402.46
Chemfab Alkalis Ltd.,541269,CHEMFAB,INE783X01023,Chemicals,Caustic Soda,2022-06-16,160.05,0.03,131.45,264.8,226.89,228.24
Chemiesynth (Vapi) Ltd.,539230,,INE829R01018,Chemicals,Organic Chemicals,2022-03-07,18.15,4.91,15,18.15,5.57,16.02
Chemo-Pharma Laboratories Ltd.,506365,,INE320M01019,Healthcare,Drugs & Pharma,2022-06-16,34.2,-4.87,21.7,49.45,5.13,-5.48
Chemplast Sanmar Ltd.,543336,CHEMPLASTS,INE488A01050,Chemicals,Thermoplastics,2022-06-16,409.9,-4.98,406.05,826.35,"6,499.09","6,494.93"
Chemtech Industrial Valves Ltd.,537326,,INE212P01011,Capital Goods,Industrial Machinery,2022-06-16,13.97,-4.97,7.85,20,16.05,27.48
Chennai Ferrous Industries Ltd.,539011,,INE777O01016,Services,Trading,2022-06-16,314.45,-4.99,5.7,347.45,113.34,118.65
Chennai Meenakshi Multispeciality Hospital Ltd.,523489,,INE889F01017,Healthcare,Health Services,2022-06-16,18.5,-3.65,11.75,31.4,14.19,22.72
Chennai Petroleum Corporation Ltd.,500110,CHENNPETRO,INE178A01016,Energy,Oil Refineries & Marketing,2022-06-16,319.85,-6.99,94.45,417.95,"4,733.89","14,280.96"
Cheviot Company Ltd.,526817,,INE974B01016,Textiles,Jute prod.,2022-06-16,"1,192.40",-0.51,"1,041.10","2,055.55",716.01,587.25
Chitradurga Spintex Ltd.,521244,,INE676G01024,Textiles,Cotton & Blended Yarn,2022-06-13,21.1,4.98,10.98,21.1,7.2,6.19
CHL Ltd.,532992,,INE790D01020,Services,Hotels,2022-06-14,20.3,0,8.55,24.3,111.28,323.25
Choice International Ltd.,531358,CHOICEIN,INE102B01014,Financial,Brokerage Services,2022-06-16,366.4,1.43,297,385,"1,823.81","1,901.10"
Choksi Imaging Ltd.,530427,,INE865B01016,Healthcare,Medical Devices & Equipment,2022-06-16,35.5,4.41,23.85,52.7,13.26,5.15
Choksi Laboratories Ltd.,526546,,INE493D01013,Healthcare,Diagnostics Services,2022-06-16,30.65,-3.01,11.72,35.3,21.38,57.91
Cholamandalam Financial Holdings Ltd.,504973,CHOLAHLDNG,INE149A01033,Financial,Misc. Fin.services,2022-06-16,609.3,-0.65,564.05,763.05,"11,471.09","68,956.60"
Cholamandalam Investment & Finance Company Ltd.,511243,CHOLAFIN,INE121A01016,Financial,Hire Purchase,2022-06-16,626.1,-1.11,469.25,770.05,"51,332.78","1,10,419.53"
Chordia Food Products Ltd.,519475,,INE975C01011,Consumer Staples,Food Processing,2022-06-16,133,-4.93,113.5,183,54.38,60.13
Chothani Foods Ltd.,540681,,INE344X01016,Consumer Staples,Food Processing,2022-06-09,20.4,1.75,6.17,20.4,10.53,10.91
Chowgule Steamships Ltd.,501833,CHOWGULSTM,INE490A01015,Services,Shipping,2022-06-16,11.35,-4.06,6.81,23.75,41.21,92.28
Chromatic India Ltd.,530191,CHROMATIC,INE662C01015,Chemicals,Dyes & Pigments,2021-12-13,0.99,4.21,0.5,1.31,7.03,8.6
CIAN Agro Industries & Infrastructure Ltd.,519477,,INE052V01019,Consumer Staples,Soyabean Prod.,2022-06-16,63.35,-1.48,33.9,84.9,181.91,278.24
Cian Healthcare Ltd.,542678,,INE05BN01019,Healthcare,Drugs & Pharma,2022-06-03,18,0.56,12.05,33.8,44.99,113.01
Cigniti Technologies Ltd.,534758,CIGNITITEC,INE675C01017,Technology,Software,2022-06-16,442.2,-0.38,334.65,678,"1,208.82","1,017.23"
CIL Nova Petrochemicals Ltd.,533407,CNOVAPETRO,INE672K01025,Textiles,Synthetic Yarn,2022-06-16,33.8,16.15,14.4,51,91.19,97.24
Cil Securities Ltd.,530829,,INE830A01012,Financial,Brokerage Services,2022-06-16,25.4,-1.55,14.45,36.5,12.3,-18.96
Cindrella Financial Services Ltd.,531283,,INE897D01015,Financial,Misc. Fin.services,2022-06-16,33.75,4.17,3.5,34.4,12.81,9.87
Cindrella Hotels Ltd.,526373,,INE908C01012,Services,Hotels,2022-06-16,24.8,4.64,18.2,30.35,8.53,9.43
Cineline India Ltd.,532807,CINELINE,INE704H01022,Services,Misc.Other Services,2022-06-16,135.85,-4.2,46.1,175,438.77,741.19
Cinerad Communications Ltd.,530457,,INE959B01017,Services,Media & Entertainment,2022-06-13,5.7,-5,1.99,6.18,2.96,2.89
Cinevista Ltd.,532324,CINEVISTA,INE039B01026,Services,Media & Entertainment,2022-06-16,12.15,-1.62,11,24.48,71.51,71.3
Cipla Ltd.,500087,CIPLA,INE059A01026,Healthcare,Drugs & Pharma,2022-06-16,940.95,-2.87,850,"1,083.15","75,893.66","76,229.03"
Cistro Telelink Ltd.,531775,,INE365C01023,Services,Trading,2022-05-16,0.45,-2.17,0.36,0.48,2.31,2.37
Citadel Realty & Developers Ltd.,502445,,INE906D01014,Construction,Real Estate,2022-06-16,14.56,-2.93,9.05,19.95,12.62,28.46
Citiport Financial Services Ltd.,531235,,INE494D01011,Financial,Hire Purchase,2022-06-16,14.65,-4.87,14.65,29.7,4.54,3.4
Citizen Infoline Ltd.,538786,,INE473L01018,Others,Others,2022-06-16,11.97,1.53,3.89,36.75,6.05,6.35
Cityman Ltd.,521210,,INE117C01010,Textiles,Readymade Garments,2022-06-16,6.39,-1.69,3.42,10.2,7.48,23.52
City Online Services Ltd.,538674,,INE158C01014,Communication,Telecom Services,2022-06-16,3.56,-4.56,1.81,8.45,2.02,3.83
City Pulse Multiplex Ltd.,542727,,INE056001014,Services,Media & Entertainment,2022-06-16,35,-9.91,22.2,75.95,11.61,14.25
City Union Bank Ltd.,532210,CUB,INE491A01021,Financial,Banking,2022-06-16,130.4,-2.8,110.5,183.95,"9,655.28","5,648.47"
CJ Gelatine Products Ltd.,507515,,INE557D01015,Chemicals,Misc.Chem.,2022-06-16,19,-5,14.8,26.1,10.08,21.69
CKP Leisure Ltd.,,CKPLEISURE,INE418Y01016,Services,Hotels,2021-10-04,4.05,3.85,,,3.9,1.54
Clariant Chemicals (India) Ltd.,506390,CLNINDIA,INE492A01029,Chemicals,Dyes & Pigments,2022-06-16,429.1,-2.93,428,643,992.52,980.29
Classic Filaments Ltd.,540310,,INE181U01018,Textiles,Synthetic Yarn,2022-06-16,7.22,-5,3.95,12.33,4.65,4.99
Classic Global Finance & Capital Ltd.,538433,,INE854P01028,Financial,Misc. Fin.services,2022-06-13,0.48,-4,0.33,0.56,1.76,2.18
Classic Leasing & Finance Ltd.,540481,,INE949C01016,Financial,Misc. Fin.services,2022-06-16,16.4,0,6.07,34.05,4.92,11.33
CLC Industries Ltd.,521082,SPENTEX,INE376C01020,Textiles,Textile Processing,2022-06-16,2.35,2.17,0.8,4.86,20.65,841.17
Clean Science And Technology Ltd.,543318,CLEAN,INE227W01023,Chemicals,Misc.Chem.,2022-06-16,"1,635.75",-3.1,"1,422.10","2,705.00","17,552.15","17,692.39"
CL Educate Ltd.,540403,CLEDUCATE,INE201M01029,Services,Education,2022-06-16,120,-0.87,53.03,170.3,337.96,314.01
Clio Infotech Ltd.,530839,,INE011B01017,Technology,Software,2022-06-16,4.82,-4.17,1.78,17.65,5.32,5.32
CMI Ltd.,517330,CMICABLES,INE981B01011,Capital Goods,Wires & cables,2022-06-16,23.95,-12.11,23.15,70.9,38.39,335.51
CMM Infraprojects Ltd.,,CMMIPL,INE289S01013,Construction,Real Estate,2022-06-16,11.85,4.87,,,18.57,58.67
CMS Info Systems Ltd.,543441,CMSINFO,INE925R01014,Services,Misc.Other Services,2022-06-16,224.6,-3.17,213.45,317.9,"3,441.10","3,259.55"
CMX Holdings Ltd.,532217,,INE027F01014,Financial,Investment Services,2022-06-16,12.48,4.26,9.73,28.7,13.61,18.56
CNI Research Ltd.,512018,,INE135H01029,Technology,Software,2022-06-16,2.32,-4.92,1.51,4.08,27.55,27.66
Coal India Ltd.,533278,COALINDIA,INE522F01014,Materials,Coal & Lignite,2022-06-16,179.9,-5.34,132.75,209,"1,11,052.36","1,02,093.47"
Coastal Corporation Ltd.,501831,COASTCORP,INE377E01016,Consumer Staples,Aquaculture,2022-06-16,257.2,-5.77,237.75,564.5,301.05,406.75
Coastal Roadways Ltd.,520131,,INE229E01019,Services,Road Transport,2022-06-14,25.25,4.99,13.35,25.25,10.47,10.39
Cochin Malabar Estates & Industries Ltd.,508571,,INE788M01017,Materials,Rubber & Rubber Products,2022-06-16,82.35,-1.96,33.9,94.5,14.59,18.2
Cochin Minerals & Rutile Ltd.,513353,,INE105D01013,Metals & Mining,Minerals,2022-06-16,111.1,-4.96,92.05,190,86.95,98.9
Cochin Shipyard Ltd.,540678,COCHINSHIP,INE704P01017,Capital Goods,Ship Building,2022-06-16,310.7,-0.22,280.75,423,"4,027.11","2,010.23"
Coffee Day Enterprises Ltd.,539436,COFFEEDAY,INE335K01011,Services,Restaurants,2022-06-16,43.05,-5.18,24.9,86.8,908.38,"2,690.13"
Coforge Ltd.,532541,COFORGE,INE591G01017,Technology,Software,2022-06-16,"3,295.95",0.56,"3,218.10","6,135.00","20,021.50","19,133.72"
Colgate-Palmolive (India) Ltd.,500830,COLPAL,INE259A01022,Consumer Staples,Household & Personal Products,2022-06-16,"1,514.65",-0.13,"1,375.60","1,823.40","41,205.82","40,361.31"
Colinz Laboratories Ltd.,531210,,INE923C01011,Healthcare,Drugs & Pharma,2022-06-16,27.3,0,15.42,43.45,6.88,3.19
Colorchips New Media Ltd.,540023,,INE621I01026,Services,Media & Entertainment,2022-06-16,43,-1.04,21.1,62.8,73.14,73.76
Comfort Commotrade Ltd.,534691,,INE456N01019,Financial,Brokerage Services,2022-06-16,14.85,7.22,8.01,28.8,14.78,12.52
Comfort Fincap Ltd.,535267,,INE274M01018,Financial,Investment Services,2022-06-16,34.1,-1.59,14.11,80,37.06,68
Comfort Intech Ltd.,531216,,INE819A01031,Financial,Misc. Fin.services,2022-06-16,26.3,-1.87,15.25,35,84.78,85.57
Commercial Engineers & Body Builders Company Ltd.,533272,CEBBCO,INE209L01016,Automobile,Commercial Vehicles,2022-06-16,53,-7.34,27.1,65.8,475.15,563.62
Commercial Syn Bags Ltd.,539986,,INE073V01015,Materials,Packaging & Containers,2022-06-16,251.6,-3.19,114.95,328,317.56,402.45
Commex Technology Ltd.,532342,,INE354B01029,Technology,Software,2021-12-13,0.25,4.17,0.21,0.25,3.88,3.69
Competent Automobiles Company Ltd.,531041,,INE823B01015,Automobile,Cars & Multi Utility Vehicles,2022-06-16,154,-2.35,140,258.7,96.49,116.13
Compuage Infocom Ltd.,532456,COMPINFO,INE070C01037,Technology,Computer Hardware,2022-06-16,24.35,-4.32,21.7,47.2,158.87,703.64
Compucom Software Ltd.,532339,COMPUSOFT,INE453B01029,Technology,Software,2022-06-16,23.8,-14.08,11.8,41.3,188.71,162.74
Computer Age Management Services Ltd.,543232,CAMS,INE596I01012,Services,Business Services,2022-06-16,"2,317.85",-2.28,"2,037.15","4,067.40","11,425.49","11,139.27"
Computer Point Ltd.,507833,,INE607B01012,Technology,Computer Hardware,2022-06-13,1.88,-4.57,0.63,2.53,5.64,4.92
Conart Engineers Ltd.,522231,,INE714D01012,Construction,Infrastructure,2022-06-16,34.65,-2.67,28.15,55.7,10.86,1.56
Concord Drugs Ltd.,538965,,INE858L01010,Healthcare,Drugs & Pharma,2022-06-16,25,-3.85,22.5,37.4,21.68,35.65
Concrete Infra & Media Ltd.,539266,,INE719G01014,Financial,Investment Services,2022-06-13,3.57,0,3.57,3.96,2.69,2.68
Confidence Finance And Trading Ltd.,504340,,INE180M01033,Services,Trading,2022-06-16,6,0,2.73,6.03,6.15,7.62
Confidence Futuristic Energetech Ltd.,539991,,INE700F01016,Services,Trading,2022-06-10,151,4.97,38.9,151,188.9,209.21
Confidence Petroleum India Ltd.,526829,CONFIPET,INE552D01024,Services,Storage & Distribn.,2022-06-16,50.1,-4.21,48.05,95.4,"1,430.00","1,554.49"
Consecutive Investment & Trading Company Ltd.,539091,,INE187R01011,Financial,Investment Services,2021-08-18,35.95,-5.63,34.57,46.86,10.81,10.79
Consolidated Construction Consortium Ltd.,532902,CCCL,INE429I01024,Construction,Construction,2022-06-16,2.1,-4.55,0.35,4.98,85.28,"1,485.29"
Consolidated Finvest & Holdings Ltd.,500226,CONSOFINVT,INE025A01027,Financial,DFIs,2022-06-16,125.35,-2.98,,,405.37,294.66
Constronics Infra Ltd.,523844,,INE537B01011,Capital Goods,Electronic Equipment,2022-06-16,6.11,4.98,4.5,9.63,4.4,4.87
Container Corporation Of India Ltd.,531344,CONCOR,INE111A01025,Services,Logistics,2022-06-16,618.45,-2.43,554,754.4,"37,666.58","36,118.05"
Containerway International Ltd.,540597,,INE319U01022,Services,Logistics,2022-06-16,4.89,3.16,2.91,7.4,2.95,6.82
Contil India Ltd.,531067,,INE080G01011,Diversified,Diversified,2022-06-16,44.5,2.53,10.61,78,13,12.89
Continental Chemicals Ltd.,506935,,INE423K01015,Technology,Software,2022-06-16,80,-0.81,16.86,417.15,17.99,16.28
Continental Controls Ltd.,531460,,INE545B01022,Capital Goods,Electronic Equipment,2022-06-15,6.6,1.85,3.43,12.51,4.06,7.64
Continental Petroleums Ltd.,523232,,INE369D01023,Chemicals,Lubricants & Grease,2022-06-16,42.2,-4.09,37.8,63.75,25,31.37
Continental Securities Ltd.,538868,,INE183Q01012,Financial,Misc. Fin.services,2022-06-16,26.85,3.07,16.9,42.3,11.41,11.01
Continental Seeds and Chemicals Ltd.,,CONTI,INE340Z01019,Consumer Staples,Other Agriculture Products,2022-06-16,6.8,-2.86,,,6.8,12.49
Control Print Ltd.,522295,CONTROLPR,INE663B01015,Capital Goods,Other Machinery,2022-06-16,422.25,-1.97,293,494.25,680.22,669.44
Cool Caps Industries Ltd.,,COOLCAPS,INE0HS001010,Materials,Other Plastic Products,2022-06-16,103.55,-3.18,,,120.28,150.57
Coral India Finance & Housing Ltd.,531556,CORALFINAC,INE558D01021,Financial,Housing Finance,2022-06-16,33.35,-10.11,30.4,58.75,145.49,146.77
Coral Laboratories Ltd.,524506,,INE683E01017,Healthcare,Drugs & Pharma,2022-06-16,245,-2,230,570,87.89,60.74
Coral Newsprints Ltd.,530755,,INE715D01019,Consumer Staples,Paper,2022-06-16,14,0.43,2.95,16.47,7.07,9.01
Cords Cable Industries Ltd.,532941,CORDSCABLE,INE792I01017,Communication,Communication Equipment,2022-06-16,52.25,-4.91,45.1,83.55,67.22,138.31
Coromandel Engineering Company Ltd.,533167,COROENGG,INE312J01012,Construction,Construction,2022-06-16,30,0,28.05,47.2,99.7,130.6
Coromandel International Ltd.,506395,COROMANDEL,INE169A01031,Chemicals,Other Fertilisers,2022-06-16,927.7,-3.47,709.35,"1,002.50","27,466.51","27,521.47"
Corporate Courier & Cargo Ltd.,526737,,INE871E01018,Services,Courier Services,2022-06-16,8.31,-4.92,5.32,22.85,5.98,6.31
Cosboard Industries Ltd.,530859,,INE496D01016,Consumer Staples,Paper,2021-08-02,2.3,-4.56,2.3,5.95,0.99,83.53
Cosco (India) Ltd.,530545,,INE949B01018,Consumer Staples,Misc. Manuf.Articles,2022-06-16,187.5,1.87,127.15,299,78.23,120.82
Cosmo Ferrites Ltd.,523100,,INE124B01018,Capital Goods,Electronic Components,2022-06-16,492.55,-5,27.2,673,592.54,667.11
Cosmo Films Ltd.,508814,COSMOFILMS,INE757A01017,Materials,Packaging & Containers,2022-06-16,"1,027.00",-34.22,805,"2,142.00","2,833.99","3,140.65"
Cospower Engineering Ltd.,543172,,INE0CQB01010,Capital Goods,Electronic Equipment,2022-06-16,91.5,7.65,41,91.5,13.73,18.06
COSYN Ltd.,538922,,INE029B01019,Technology,Software,2022-06-16,15.9,4.95,15.1,42.8,11.93,5.41
Country Club Hospitality & Holidays Ltd.,526550,CCHHL,INE652F01027,Services,Hotels,2022-06-16,7.4,-10.3,5.9,10.62,119.82,413.16
Country Condos Ltd.,531624,COUNCODOS,INE695B01025,Construction,Real Estate,2022-06-16,3.9,-3.7,2.5,8.74,30.73,28.85
Coventry Coil-O-Matic (Haryana) Ltd.,523415,,INE964D01013,Automobile,Auto Ancillaries,2022-04-18,1.44,4.35,0.84,1.44,0.65,5.17
Covidh Technologies Ltd.,534920,,INE899M01012,Technology,Software,2022-06-06,1.16,-4.92,0.69,1.22,1.23,3.24
Cox & Kings Financial Service Ltd.,542641,CKFSL,INE391Z01012,Financial,Misc. Fin.services,2021-12-13,0.34,3.03,0.31,0.44,2.48,360.09
Cox & Kings Ltd.,533144,COX&KINGS,INE008I01026,Services,Travel & Tourism,2022-02-10,1.75,-2.78,1.05,3.42,28.78,"2,344.47"
Craftsman Automation Ltd.,543276,CRAFTSMAN,INE00LO01017,Automobile,Auto Ancillaries,2022-06-16,"2,188.65",-3.18,"1,648.50","2,778.00","4,617.06","5,447.54"
Crane Infrastructure Ltd.,538770,,INE176L01017,Construction,Infrastructure,2022-06-16,6.95,2.21,5.43,11.27,5.03,5.36
Cranes Software International Ltd.,512093,CRANESSOFT,INE234B01023,Technology,Software,2022-06-16,2.55,-2.67,2.31,6.01,30.97,924.02
Cranex Ltd.,522001,,INE608B01010,Capital Goods,Other Machinery,2022-06-16,16.25,-4.69,11.02,29.05,10.32,29.99
Cravatex Ltd.,509472,,INE145E01017,Textiles,Readymade Garments,2022-06-16,353.5,1.65,265.05,479,86.29,193.66
Creative Castings Ltd.,539527,,INE146E01015,Metals & Mining,Castings & Forgings,2022-06-16,342,-4.74,301.25,480.95,44.46,34.81
Creative Eye Ltd.,532392,CREATIVEYE,INE230B01021,Services,Media & Entertainment,2022-06-16,4.1,0,0,6.14,8.02,0.95
Creative Newtech Ltd.,,CREATIVE,INE985W01018,Services,Trading,2022-06-16,496.8,-3.93,,,595.44,657.21
CreditAccess Grameen Ltd.,541770,CREDITACC,INE741K01010,Financial,Misc. Fin.services,2022-06-16,"1,015.75",-4.45,494.7,"1,154.35","15,931.47","25,009.02"
Crescent Leasing Ltd.,539131,,INE767G01013,Financial,Investment Services,2022-06-13,3.96,4.76,1.74,3.96,1.61,6.31
Cressanda Solutions Ltd.,512379,,INE716D01033,Technology,Software,2022-06-16,26.5,-4.85,0.9,51.2,"1,056.01","1,109.66"
Crestchem Ltd.,526269,,INE293N01016,Chemicals,Organic Chemicals,2022-06-16,43.7,-4.9,32,75.85,13.13,13.44
Crest Ventures Ltd.,511413,CREST,INE559D01011,Financial,Misc. Fin.services,2022-06-16,171.3,-5.54,97.05,220,492.04,561.85
Crimson Metal Engineering Company Ltd.,526977,,INE318P01016,Metals & Mining,Steel Tubes & Pipes,2022-02-18,8.5,4.94,8.1,8.5,3.76,32.44
CRISIL Ltd.,500092,CRISIL,INE007A01025,Services,Credit Ratings & Information,2022-06-16,"3,199.30",0.26,"2,419.85","3,863.55","23,333.59","22,561.30"
Croissance Ltd.,531909,,INE587J01027,Construction,Real Estate,2022-06-16,5.22,-4.92,3.8,12.03,35.78,38.04
Crompton Greaves Consumer Electricals Ltd.,539876,CROMPTON,INE299U01018,Consumer Discretionary,Kitchenware & Appliances,2022-06-16,318.05,0.52,313.35,512.8,"20,203.41","19,181.79"
Crown Lifters Ltd.,,CROWN,INE491V01019,Capital Goods,Other Machinery,2022-06-16,31,4.38,,,32.27,43.8
CSB Bank Ltd.,542867,CSBBANK,INE679A01013,Financial,Banking,2022-06-16,179.95,-1.67,179.5,374,"3,124.48","2,887.51"
CSL Finance Ltd.,530067,,INE718F01018,Financial,Equipment Leasing,2022-06-16,198.45,3.49,93.33,240,400.14,459.25
Cubex Tubings Ltd.,526027,CUBEXTUB,INE144D01012,Metals & Mining,Non-Ferrous Metal,2022-06-16,24.2,-5.28,17.7,39,35.01,36.73
