Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
BEW Engg,,BEWLTD,Engineering,657.35,169.64,25.14,99.53,22.34,40.03,,,,,
Future Enterp.,523574,FEL,Textiles - Products,3.06,169.61,-35.32,,1.93,-11.57,28.57,16.76,0.62,-15.22,
Indokem,504092,,Dyes And Pigments,69.60,169.30,12.67,64.36,8.61,6.65,11.67,-19.96,-32.95,39.98,
Ruchi Infrastr.,509020,RUCHINFRA,Miscellaneous,8.19,169.17,-2.51,62.59,9.08,4.67,22.47,-1279.34,2707.14,-8.05,14.45
Lesha Industries,533602,,Trading,15.35,168.85,94.85,97.59,1.10,1.01,,,583.33,8.53,10.98
Indsil Hydro,522165,,Mining / Minerals / Metals,60.65,168.55,-32.77,121.75,6.59,8.68,109.56,45.89,48.71,8.84,24.65
Nitco,532722,NITCO,Ceramics - Tiles / Sanitaryware,23.50,168.50,-11.61,,-13.38,,1.11,38.09,22.94,-1.52,
IVP,507580,IVP,Chemicals,162.90,168.33,20.28,72.58,7.33,5.80,46.88,11.48,95.17,14.59,11.12
Scan Steels,511672,,Steel - Medium / Small,32.10,168.05,12.89,96.81,12.79,8.65,41.78,-18.80,4.86,3.53,31.29
Shardul Sec.,512393,SHRIYAMSEC,Finance & Investments,96.00,168.00,30.85,191.20,2.38,1.82,59.52,846.51,195.05,9.15,1.20
United Nilgiri,,UNITEDTEA,Tea,335.65,167.71,4.82,-7.38,8.45,6.66,34.04,195.82,288.89,8.00,9.32
Kings Infra,530215,,Construction,70.80,166.47,5.91,35.87,9.52,5.92,22.83,4.44,77.27,12.92,36.05
Kirl. Electric,533193,KECL,Electric Equipment,25.05,166.03,4.34,40.28,14.12,,18.41,82.39,1598.44,-0.04,43.50
Maximus Interna.,540401,,Trading,132.00,165.95,6.40,31.06,19.84,15.88,52.08,-13.03,155.10,,
Sunedison Infra.,531260,,Power Generation And Supply,368.70,165.55,-8.88,,-8.38,-25.94,14.48,88.46,-6.48,,
Talbros Engg.,538987,,Auto Ancillaries,326.00,165.49,9.26,42.30,15.94,17.77,27.34,20.52,35.23,,17.44
Rajshree Polypac,,RPPL,Packaging,147.15,165.31,16.68,-2.55,11.36,8.85,11.50,-7.16,-32.72,,23.93
Bombay Rayon,532678,BRFL,Textiles - Products,5.20,165.09,-7.20,18.68,-19.05,-86.86,2331.71,92.25,-921.74,-31.87,
Asian Hotels (N),500023,ASIANHOTNR,Hotels,84.00,163.87,-21.85,,-0.05,-19.95,12.01,133.15,27.77,-8.31,
Pansari Develop.,538381,PANSARI,Construction,93.80,163.65,81.60,24.42,5.10,4.55,57.27,-76.92,-84.42,,
Indian Toners,523586,,Dyes And Pigments,150.80,163.62,1.23,-1.98,10.03,7.73,12.46,10.33,139.33,25.35,13.35
KIC Metaliks,513693,,Castings & Forgings,46.00,163.28,-15.41,6.79,17.33,12.79,-60.52,-98.03,-84.56,5.48,28.01
KKalpana Inds.,526409,,Plastics Products,17.35,163.22,-72.86,-40.95,12.40,6.67,-98.99,-953.91,-73.28,7.89,-14.10
Vaidya Sane,,MADHAVBAUG,Pharmaceuticals - Indian - Formulations,155.25,163.22,6.02,91.11,15.83,9.57,,,,,
TRF,505854,TRF,Engineering,148.30,163.13,-17.09,18.82,,,-17.53,1621.51,486.65,-6.36,
Ishan Dyes & Ch.,531109,,Dyes And Pigments,88.00,162.52,9.37,32.66,21.66,17.36,18.81,-115.17,-134.67,11.28,7.62
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,16.05,162.51,14.16,22.74,14.82,12.84,20.19,-13.01,-8.17,,37.14
Emk.Global Fin.,532737,EMKAY,Finance & Investments,65.60,162.01,22.76,64.09,11.12,6.46,6.82,-128.00,-176.14,10.29,41.24
DRC Systems,543268,DRCSYSTEMS,Computers - Software - Medium / Small,41.80,161.57,,,,,-26.89,-34.27,-41.94,,
Indian Acrylics,514165,INDIANACRY,Textiles - Manmade,11.80,159.68,-5.45,,4.65,-15.04,38.69,-122.73,-207.00,16.33,
Ballarpur Inds.,500102,BALLARPUR,Paper,1.20,159.19,11.50,,-8.67,-143.47,-82.63,-59498.93,-731.23,-24.69,
Spacenet Enterpr,,SPCENET,Computers - Software - Medium / Small,3.00,159.10,322.77,201.23,,,1181.11,107.41,379.41,,7.24
Deepak Spinners,514030,DEEPAKSPIN,Textiles - Spinning - Synthetic / Blended,220.40,158.46,3.63,48.50,15.35,14.91,23.55,-6.43,27.73,28.90,17.99
Parin Furniture,,PARIN,Miscellaneous,142.50,158.43,2.27,0.33,12.23,9.17,,,,,
Capital Trust,511505,CAPTRUST,Finance & Investments,98.25,157.93,-18.30,,7.26,-7.12,-10.18,156.69,106.22,15.78,
Zodiac Energy,543416,ZODIAC,Engineering - Turnkey Services,108.05,157.90,31.22,20.51,19.75,16.57,35.07,-34.90,-27.48,,45.32
Kanani Industrie,506184,KANANIIND,Diamond Cutting / Jewellery,16.05,157.84,-5.47,-5.87,2.76,2.00,-51.45,1600.00,661.54,-3.73,10.29
T T,514142,TTL,Textiles - Products,72.80,157.52,-8.97,184.63,9.52,14.46,-35.71,-56.90,-95.28,14.54,13.05
Art Nirman Ltd,,ARTNIRMAN,Construction,63.00,157.22,24.93,,-0.47,-8.55,-72.75,-1681.29,-822.64,,
A Infrastructure,539620,,Cement Products,36.80,156.94,3.78,15.76,11.09,9.56,18.59,18.53,251.43,,16.62
Davangere Sugar,543267,,Sugar,16.65,156.69,3.03,22.24,6.30,1.59,-18.21,948.48,247.06,,
Veto Switchgears,539331,VETO,Electric Equipment,82.65,156.50,7.05,20.05,11.20,7.85,21.81,-16.82,7.25,,10.75
Compuage Info.,532456,COMPINFO,Computers - Hardware,24.05,156.26,-2.32,5.64,13.56,11.87,19.39,-6.18,37.78,12.46,10.02
Goldstone Tech.,531439,GOLDTECH,Computers - Software - Medium / Small,45.25,156.13,13.60,37.15,1.02,-0.13,11.77,-10.47,22.33,23.13,-15.95
Vadilal Enterp.,519152,,Trading,1815.00,156.09,-1.51,190.22,21.10,24.68,28.96,-2550.00,-125.13,33.62,10.65
Rane Engine Val.,532988,RANEENGINE,Auto Ancillaries,230.00,156.07,-3.31,10.50,-5.83,-16.30,11.03,43.12,66.67,2.39,
E2E Networks,,E2E,Computers - Software - Medium / Small,107.80,156.04,15.40,60.16,-6.92,-7.08,40.06,26.27,348.78,,
Suryalata Spg.,514138,,Textiles - Spinning - Synthetic / Blended,365.10,155.79,7.22,49.82,19.54,18.14,48.74,-15.12,74.03,20.35,27.52
RRIL,531307,,Textile Machinery,12.82,155.40,,,,,359.28,-7.46,311.65,24.35,
IRIS Business,540735,IRIS,Computers - Software - Medium / Small,82.20,155.26,15.38,29.34,8.28,5.39,2.70,-1.49,-5.75,,
Apollo Sindoori,,APOLSINHOT,Hotels,595.15,154.76,8.11,-10.36,17.01,15.71,17.58,94.99,23.03,,
RSD Finance,539875,,Finance & Investments,119.00,154.06,16.67,29.76,9.98,6.65,62.58,133.53,123.50,,
Rel. Chemotex,503162,RELCHEMQ,Textiles - Spinning - Synthetic / Blended,205.10,153.97,3.83,64.27,14.65,11.18,27.29,-20.27,10.21,8.13,19.32
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,10.80,153.96,-0.51,-44.75,15.64,9.06,3.47,-305.42,-407.80,31.41,
Winsome Textile,514470,,Textiles - Spinning - Synthetic / Blended,77.60,153.80,9.76,58.13,14.26,8.21,38.18,0.99,216.34,2.27,21.78
Bella Casa Fashi,539399,,Textiles - Products,133.65,153.37,11.92,8.32,14.90,14.73,4.18,23.72,12.77,,32.29
GEE,504028,,Electrodes - Welding Equipment,58.85,152.94,5.63,75.04,9.60,7.58,13.35,-10.14,19.75,7.94,7.76
Caprihans India,509486,CAPRIHANS,Plastics Products,116.45,152.89,13.47,66.62,13.62,9.97,29.99,-39.69,-34.42,8.93,8.88
CG-VAK Software,531489,,Computers - Software - Medium / Small,299.35,151.18,14.14,36.25,28.49,22.48,54.34,33.18,69.89,42.68,26.73
IL&FS Engg.,532907,IL&FSENGG,Construction,11.80,151.03,-37.15,14.37,,,-36.80,-17.65,40.93,-15.27,
Aries Agro,532935,ARIES,Fertilizers,116.00,151.00,18.72,14.24,13.44,6.08,24.33,-221.67,-57.68,6.78,-2.66
Kritika Wires,,KRITIKA,Steel - Medium / Small,84.95,150.80,-3.88,-15.80,6.83,3.20,70.65,102.27,9.80,,18.66
ADC India,523411,KRONECOMM,Telecommunications - Equipment,326.95,150.39,11.58,13.11,17.16,12.45,61.28,-2.42,65.34,10.97,34.43
Worth Peripheral,,WORTH,Paper,95.30,150.11,13.42,13.86,17.85,15.19,20.03,23.21,29.21,,21.12
Bilcare,526853,,Packaging,63.70,149.98,-34.44,24.47,-2.96,-182.09,45.47,25.26,90.15,-7.85,
Future Supply,540798,FSC,Miscellaneous,34.05,149.43,-17.54,,3.30,-4.32,57.53,266.41,89.61,,
Medico Remedies,540937,MEDICO,Pharmaceuticals - Indian - Bulk Drugs & Formln,90.40,149.30,7.40,46.04,11.07,9.83,,,,,
Intense Tech.,532326,INTENTECH,Computers - Software - Medium / Small,67.00,149.19,12.75,33.80,18.88,14.21,11.99,0.78,14.95,24.85,19.75
Genpharmasec,531592,,Dyes And Pigments,5.38,148.95,315.81,,4.07,3.68,10.06,-106.81,-98.41,,-9.11
Sharp India,523449,KALYANISHP,Electronics - Consumer,57.20,148.37,,-50.95,,,,,0.80,4.89,
Pradeep Metals,513532,,Castings & Forgings,85.70,148.00,4.87,31.44,18.17,24.87,41.16,-19.05,37.70,17.39,
Jullundur Motor,,JMA,Auto Ancillaries,64.55,147.44,3.39,16.42,16.05,11.92,7.66,4.61,9.74,,3.75
Sh. Bajrang All.,526981,,Steel - Medium / Small,163.70,147.34,2.84,53.99,3.26,26.69,-34.33,-40.60,40.78,23.68,
Tejnaksh Health.,539428,,Healthcare,145.00,147.27,-16.52,-2.15,15.61,13.32,-19.63,14.05,-28.33,,23.72
Kapston Services,,KAPSTON,Miscellaneous,144.60,146.68,22.74,-33.87,12.37,13.96,44.09,-9.13,1016.67,,16.64
Kakatiya Cement,500234,KAKATCEM,Cement - South India,190.00,146.65,11.76,55.39,6.97,4.16,43.64,-99.56,119.19,8.79,-0.59
Indian CardCloth,509692,INDIANCARD,Textile Machinery,247.00,146.53,4.91,26.63,-0.67,-3.52,3.89,-87.16,345.99,8.80,-22.55
Available Fin.,531310,,Finance & Investments,143.35,146.22,4.00,80.91,0.15,20.97,-14.29,-61.11,73.24,20.13,
Elgi Rubber Co,,ELGIRUBCO,Miscellaneous,29.15,146.04,-1.68,14.39,1.62,-5.75,25.91,-57.38,-200.00,4.32,
Kinetic Engg.,500240,KINETICENG,Auto Ancillaries,78.00,145.89,1.64,28.96,2.35,-35.76,3.66,-22.97,-55.04,2.30,7.52
Essar Shipping,533704,ESSARSHPNG,Shipping,7.07,145.70,-36.94,11.86,,,-83.78,-126.59,106.87,-12.60,
Affordable Robo.,541402,,Engineering,142.95,145.52,-0.50,-25.49,4.67,1.37,,,,,42.22
ABM Knowledge,531161,,Computers - Software - Medium / Small,72.50,145.02,14.95,-2.00,12.29,9.33,-8.88,-36.29,-30.17,7.55,-0.21
IL&FS Transport,533177,IL&FSTRANS,Engineering - Turnkey Services,4.39,144.42,-69.97,,3.61,,7.66,-110.87,-1100.85,-30.60,
Sh. Ajit Pulp,538795,,Paper,269.00,144.09,15.75,-3.35,18.14,14.08,33.02,-68.23,-83.07,,10.93
Reliance Home,540709,RHFL,Finance - Housing,3.03,144.09,-47.42,,-17.58,,-88.64,-13444.97,-917.09,,
Lak. Electrical,504258,LAKSELECON,Electric Equipment,584.00,143.67,10.31,14.91,5.26,4.21,41.90,32.77,44.90,10.77,5.44
P.E. Analytics,,PROPEQUITY,Miscellaneous,137.05,143.66,17.10,35.89,34.79,27.10,,,,,
JHS Sven.Lab.,532771,JHS,Personal Care - Indian,22.00,143.44,-11.40,,1.80,-0.23,-24.70,-465.00,-265.78,-3.42,
AJR Infra &,532959,AJRINFRA,Engineering - Turnkey Services,1.49,143.30,-27.11,-28.51,4.33,-59.12,-41.01,-60.33,-10.49,-19.06,
Golden Tobacco,500151,GOLDENTOBC,Cigarettes,82.00,143.22,-20.10,45.42,,,-18.28,-194.65,-187.04,9.32,8.73
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.80,142.84,-15.81,,1.63,-12.31,30.87,27.87,137.98,-6.37,
Sakthi Finance,511066,SAKTHIFIN,Finance & Investments,22.00,142.35,3.15,-7.30,9.91,5.29,1.05,-0.85,26.21,6.23,-1.97
Jocil,,JOCIL,Chemicals,160.05,142.13,23.26,31.02,7.68,5.87,39.22,-32.35,-81.95,5.15,-5.46
Emmbi Industries,533161,EMMBI,Packaging,80.15,142.05,14.81,2.27,11.94,10.39,17.88,24.87,50.00,21.40,19.11
SKM Egg Prod.,532143,SKMEGGPROD,Food - Processing - Indian,53.95,141.92,-3.30,15.39,10.33,8.80,27.83,-48.02,-86.27,24.18,10.27
Siti Networks,532795,SITINET,Entertainment / Electronic Media Software,1.66,141.12,0.09,-8.34,-7.63,,-5.51,33.64,10.64,-18.86,
Shah Alloys,513436,SHAHALLOYS,Steel - Medium / Small,70.90,141.08,15.84,79.03,22.46,,24.34,-22.34,317.79,25.64,
SPML Infra,500402,SPMLINFRA,Construction,32.70,140.91,-22.08,,2.55,-10.90,14.34,106.97,86.45,-6.97,
Bal Pharma,524824,BALPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,90.75,140.85,7.72,37.67,6.86,-1.17,4.58,-47.93,-44.19,16.96,
Imagica. Enter.,539056,IMAGICAA,Recreation / Amusement Parks,15.88,140.81,-33.08,9.09,-22.01,,128.24,337.42,45.00,,
Diligent Indust.,531153,,Solvent Extraction,12.30,140.66,9.30,49.50,6.90,6.32,192.79,235.05,308.33,28.79,25.97
Scandent Imaging,516110,,Healthcare,43.55,139.80,43.66,538.25,37.27,40.74,14.88,-7.75,18.89,,
Noida Tollbridg.,532481,NOIDATOLL,Construction,7.50,139.65,-7.45,-5.22,-9.34,-11.22,-5.07,-85.08,-22.69,-11.64,
Maan Aluminium,532906,MAANALU,Aluminium and Aluminium Products,103.30,139.33,-4.25,33.88,21.19,24.93,-20.99,66.16,55.32,31.12,49.28
Ruttonsha Intl.,517035,,Electronics - Components,200.10,139.27,,,,,,,,28.34,
SPL Industries,532651,SPLIL,Textiles - Products,47.90,139.21,8.07,-8.66,19.25,16.41,188.02,-11.93,161.94,32.49,9.24
Mideast Int. Stl,540744,MIDEASTSTL,Steel - Pig Iron,10.08,138.98,-41.25,-68.47,-6.96,-37.94,4318.85,93.36,-314.47,,
Tilak Ventures,503663,,Trading,9.11,138.22,-43.11,22.87,1.70,1.44,1188.00,-137.41,-193.75,-0.41,4.27
La Tim Metal & I,505693,,Trading,15.65,138.21,17.84,81.40,26.61,50.33,104.30,-84.50,3.26,,
GTL,500160,GTL,Telecommunications - Service Provider,8.80,138.11,-4.05,24.45,,,-9.02,-190.51,-197.92,-12.34,6.94
Graviss Hospital,509546,,Hotels,19.45,137.16,0.56,,-5.50,-5.42,-21.65,69.06,57.93,-1.22,
TCI Developers,533393,TCIDEVELOP,Construction,365.35,137.15,6.75,-47.18,3.14,1.75,-7.56,-48.77,-109.52,11.78,-0.09
Guj.Nat.Resour.,513536,,Steel - Medium / Small,17.05,136.83,3.77,-37.46,-2.41,-3.65,118.39,-54.25,20.00,-16.37,
Generic Engineer,539407,GENCON,Construction,32.25,136.56,8.83,-3.77,9.21,5.90,83.52,-44.86,-1.19,,
Hind.Natl.Glass,515145,HINDNATGLS,Glass & Glass Products,15.20,136.12,-4.29,-12.66,-2.64,,0.23,-479.08,-121.66,-22.72,
Bharat Gears,505688,BHARATGEAR,Auto Ancillaries,133.35,135.96,7.06,22.12,8.95,-1.40,9.57,-5.63,93.50,6.11,2.12
ABans Enterprise,512165,,Trading,97.45,135.94,,,,,-56.16,-7.14,72.20,,
Suraj,531638,,Steel - Medium / Small,70.50,135.79,24.19,28.62,6.95,1.98,92.87,-63.15,7.25,3.29,-7.09
IP Rings,523638,IPRINGLTD,Auto Ancillaries,107.00,135.64,8.74,1.04,7.90,4.57,-5.47,-8.43,-15.89,11.43,30.34
Foce India,,FOCE,Trading,277.05,135.56,,,,,,,,,
Visa Steel,532721,VISASTEEL,Steel - Medium / Small,11.85,135.47,-7.52,13.46,-6.90,,-10.81,-7.55,38.08,-13.54,-6.78
S & T Corporatio,514197,,Miscellaneous,212.65,135.45,20.20,58.74,5.13,5.35,188.24,16.94,233.33,,15.57
Banas Finance,509053,,Finance & Investments,26.80,134.72,91.80,144.87,31.95,27.79,-70.30,-82.06,-416.19,-13.07,125.95
Coral India Fin.,531556,CORALFINAC,Finance - Housing,33.50,134.01,23.64,28.32,12.51,10.12,37.92,15.55,19.05,21.20,5.67
Modi Rubber,500890,MODIRUBBER,Miscellaneous,53.35,133.85,-0.70,87.15,2.70,2.23,106.82,-2.42,-13.51,5.99,19.38
Avro India,543512,AVROIND,Plastics Products,129.80,133.11,9.96,42.03,15.14,13.07,28.96,210.32,1433.33,,76.89
Sundaram Multi.,533166,SUNDARAM,Printing & Stationery,2.84,133.10,-10.94,-8.48,2.94,-3.17,22.58,14250.00,206.40,-15.48,-6.02
Nath Industries,502587,,Paper,70.00,133.01,45.96,63.59,8.77,8.05,15.85,-58.77,-56.20,21.52,20.66
Murudesh.Ceramic,515037,MURUDCERA,Ceramics - Tiles / Sanitaryware,23.05,132.99,-0.73,-23.11,2.89,-0.80,30.38,-17.06,-84.89,2.96,-5.51
Le Merite Export,,LEMERITE,Textiles - Cotton/Blended,56.60,132.90,43.03,160.60,25.98,51.24,,,,,
Lokesh Mach.,532740,LOKESHMACH,Engineering,74.15,132.53,1.96,-2.11,6.38,1.33,15.33,9.41,17.32,7.99,-1.77
Samkrg Pistons,520075,,Auto Ancillaries,134.45,132.03,-5.77,-12.95,13.90,10.74,-25.74,3.62,-48.12,6.90,1.65
Jainam Ferro,,JAINAM,Mining / Minerals / Metals,125.00,132.02,14.99,113.26,61.89,49.53,,,,,
Goyal Aluminiums,541152,,Trading,92.30,131.74,14.29,13.08,7.37,4.59,,,,,
Pacific Inds,523483,PACIFICIND,Miscellaneous,382.10,131.69,43.19,444.24,3.96,2.59,-23.37,-49.14,-123.01,10.99,
A F Enterprises,538351,,Trading,101.85,131.52,-9.43,25.99,11.92,8.04,27.97,-75.69,616.67,,59.11
Mahalaxmi Rubtec,514450,MHLXMIRU,Textiles - Products,120.90,131.42,2.01,19.93,8.83,6.90,17.41,-7.78,36.76,9.25,
Majestic Auto,500267,MAJESAUTO,Construction,126.00,131.04,-25.15,-40.78,7.18,1.15,-13.05,-22.60,-99.53,8.55,6.16
Electrotherm(I),526608,ELECTHERM,Steel - Medium / Small,101.85,130.83,-11.18,,3.62,,-32.04,-89.10,-131.66,7.70,
Calcom Vision,517236,,Electronics - Consumer,102.40,130.70,24.13,-34.39,6.48,2.44,71.58,-31.74,-4.76,30.01,20.99
Veeram Securit.,540252,,Diamond Cutting / Jewellery,25.90,130.61,5.46,134.35,23.84,20.01,-72.89,386.96,-40.88,,
Navkar Urban.,531494,,Cement Products,13.05,129.75,-55.62,-45.10,2.66,0.68,39.03,-566.29,-222.45,22.61,-10.17
Aarvi Encon,,AARVI,Miscellaneous,87.70,129.66,12.67,30.97,12.05,11.77,49.64,1.06,7.01,,16.91
Shahlon Silk,542862,,Textiles - Products,14.50,129.48,-16.17,-5.18,6.56,-1.82,-10.89,6.09,-37.39,,
Global Education,,GLOBAL,Miscellaneous,127.15,129.44,9.55,17.67,25.91,19.04,44.94,293.07,407.94,,101.20
Surana Telecom,517530,SURANAT&P,Diversified - Medium / Small,9.62,129.22,-6.04,4.98,6.38,3.75,3.79,-1.74,245.45,11.00,44.81
PVP Ventures,517556,PVP,Construction,5.25,129.16,9.82,12.32,-2.44,,530.59,173.51,4.07,1.76,
Gillanders Arbut,532716,GILLANDERS,Diversified - Medium / Small,63.50,129.15,-18.51,287.88,4.86,-2.88,-18.20,-4105.56,42.44,0.19,
Kamat Hotels,526668,KAMATHOTEL,Hotels,54.65,129.11,-15.10,,6.18,,58.44,8.39,49.73,-7.98,1.74
North Eastn.Car.,534615,NECCLTD,Miscellaneous,25.70,129.01,-9.93,-0.31,7.05,4.49,-7.00,8.01,-57.43,,-1.88
The Byke Hospi.,531373,BYKE,Hotels,32.00,128.52,-14.02,,-1.07,-5.09,46.03,-18.32,205.48,-8.50,
Starteck Fin.,512381,STARTECK,Finance & Investments,128.10,127.89,1.56,74.22,10.99,12.52,73.84,55.57,3.12,,25.84
DCM,502820,DCM,Castings & Forgings,68.05,127.76,-45.56,373.31,-4.29,,43.08,99.07,3087.88,0.53,16.66
SAB Industries,539112,,Construction,84.00,127.76,,75.47,7.01,6.67,,,-264.98,,
Sarthak Metals,540393,SMLT,Mining / Minerals / Metals,94.70,127.60,34.19,63.69,25.15,23.81,37.93,-20.57,13.96,,31.30
Lasa Supergeneri,540702,LASA,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.25,127.10,-6.83,29.18,8.62,6.66,30.97,-8.13,118.68,,
Country Club Hos,526550,CCHHL,Hotels,7.75,127.04,-39.54,5.83,-3.42,-12.76,-7.13,-589.16,-130.41,1.65,
Lagnam Spintex,,LAGNAM,Textiles - Products,71.65,126.59,63.08,81.97,12.39,18.88,39.09,-24.91,14.70,,
Aspinwall & Co,,ASPINWALL,Trading,161.90,126.57,-2.00,20.09,6.60,4.39,-5.83,45.62,100.00,,5.22
Sayaji Industr,540728,,Miscellaneous,200.00,126.40,7.16,26.76,14.04,11.92,36.30,-55.58,-56.47,,20.83
Aimco Pesticides,524288,AIMCOPEST,Pesticides / Agrochemicals - Indian,131.75,126.24,16.51,11.40,24.52,15.89,66.84,243.87,248.59,35.86,
Vikram Thermo,530477,,Pharmaceuticals - Indian - Bulk Drugs & Formln,40.15,125.90,16.70,25.37,18.78,15.63,36.66,46.72,85.71,18.19,4.22
Manaksia Coated,539046,MANAKCOAT,Steel - Medium / Small,19.25,125.84,34.79,182.41,10.98,5.92,26.69,-9.30,116.97,,
Palred Technolog,532521,PALREDTEC,Computers - Software - Medium / Small,128.95,125.50,55.49,21.64,2.84,-4.17,-24.54,-248.13,-2060.00,24.34,
RPP Infra Proj.,533284,RPPINFRA,Construction,34.00,125.26,11.35,-38.84,10.76,4.71,40.67,-208.95,-223.33,-2.00,-13.03
Indrayani Biotec,526445,,Hotels,36.55,125.10,,,,,140.92,259.63,229.84,,54.20
Sanco Trans,523116,,Miscellaneous,690.25,124.25,3.97,83.46,5.45,3.03,-7.24,-42.80,-17.89,12.37,-3.55
RDB Rasayans,533608,,Textiles - Manmade,70.00,123.97,11.26,41.58,21.26,16.16,19.02,-28.48,48.94,18.43,30.33
Pritika Auto,539359,PRITIKAUTO,Auto Ancillaries,14.00,123.87,9.22,0.85,9.87,6.91,-28.42,10.88,-33.82,,
Manaksia Alumi.,539045,MANAKALUCO,Aluminium and Aluminium Products,18.95,123.85,16.54,2.00,7.87,3.05,45.75,3.37,-32.45,,
Bhagya. Prop.,540621,BHAGYAPROP,Construction,38.55,123.81,-3.31,-22.68,5.11,3.81,42.38,657.05,27.59,,
Uravi T & Wedge,,URAVI,Auto Ancillaries,225.00,123.75,-3.80,-36.64,5.88,1.57,,,,,0.14
Arrow Greentech,516064,ARROWGREEN,Plastics Products,88.25,123.74,-0.61,13.35,-5.26,-5.14,-83.48,-748.79,-190.51,24.89,
Atlanta,532759,ATLANTA,Engineering - Turnkey Services,14.95,122.61,69.43,,-10.10,,118.96,-484.42,-67452.50,-12.50,
Indosolar,533257,INDOSOLAR,Electric Equipment,3.21,122.26,,24.28,,,,,-20.88,-1.53,6.69
Himalaya Food,526899,,Food - Processing - Indian,21.05,121.82,-11.80,30.83,3.05,13.59,21.43,-10.93,208.11,-0.60,-3.86
Vibrant Glo. Cap,538732,,Finance & Investments,53.15,121.75,-3.99,76.87,18.15,26.39,34.73,26.60,59.74,,57.91
Bhagyanagar Ind,512296,BHAGYANGR,Mining / Minerals / Metals,37.70,121.59,40.35,21.61,6.61,4.08,76.59,-28.51,216.42,8.38,41.68
Seacoast Ship.,542753,,Trading,3.61,121.54,679.33,534.13,21.13,18.48,-75.40,-485.56,-406.67,,
Samrat Pharma,530125,,Pharmaceuticals - Indian - Bulk Drugs,392.80,121.37,25.90,123.53,35.27,30.66,26.89,310.95,346.50,31.55,16.36
Bimetal Bearings,505681,BIMETAL,Bearings,314.10,120.31,-1.55,-28.55,2.04,1.67,1.58,57.66,-23.79,1.20,-11.71
Naga Dhunseri,,NDGL,Finance & Investments,1200.35,120.04,35.79,101.77,9.14,9.03,-38.10,64.75,-46.37,,
Inv.& Prec.Cast.,504786,,Castings & Forgings,239.45,119.72,3.62,-74.10,4.55,-0.09,-0.94,-74.78,-128.28,16.48,-24.67
Halder Venture,539854,,Trading,378.70,119.70,51.14,88.84,15.60,32.34,85.87,-82.51,-98.47,,
Abhinav Capital,532057,,Finance & Investments,171.95,119.07,19.28,21.57,8.74,6.64,80.39,258.10,168.75,19.08,25.09
Cool Caps,,COOLCAPS,Plastics Products,103.00,119.07,34.99,32.82,16.57,22.98,,,,,
Sundaram Brake,590072,SUNDRMBRAK,Auto Ancillaries,308.00,119.02,1.03,,2.54,2.45,6.59,-16.07,-23.46,6.93,
Remsons Ind,530919,REMSONSIND,Auto Ancillaries,209.90,118.42,,,,,3.67,78.66,152.59,24.75,
Servotech Power,,SERVOTECH,Electric Equipment,63.35,118.25,14.76,7.84,8.92,4.90,-1.34,-26.06,-37.50,,16.12
Suvidhaa Info.,543281,SUVIDHAA,Miscellaneous,5.88,118.19,,,,,-50.15,77.27,119.89,,
Triton Valves,505978,,Auto Ancillaries,1135.95,118.14,,,,,14.21,-24.57,-85.44,10.15,
Thakkers Develp.,526654,,Construction,131.25,118.12,44.44,211.80,17.70,18.65,149.65,557.42,277.84,1.33,
Lancor Holdings,509048,,Construction,29.15,118.05,3.95,,3.67,-7.52,-8.72,-39.58,-15.38,5.92,
Tyche Industries,532384,,Chemicals,115.05,117.93,4.90,11.23,25.21,18.84,1.56,7.82,27.22,23.77,12.32
Tembo Global,,TEMBO,Trading,117.20,117.74,41.22,18.56,14.31,14.09,35.56,-30.08,72.43,,56.16
Evexia Lifecare,524444,,Chemicals,1.90,117.68,-8.00,-19.61,3.63,2.36,22.90,101.00,-143.18,6.42,54.99
Brand Concepts,543442,BCONCEPTS,Trading,112.00,117.61,1.75,-34.38,3.28,-9.97,38.59,-35.90,289.58,,8.86
Esteem Bio Org.,534927,,Food - Processing - Indian,4.73,117.60,-4.98,9.94,3.71,3.63,65.03,-14.68,621.43,,-1.18
Narmada Gelatine,526739,SHAWGELTIN,Chemicals,194.35,117.58,7.74,22.01,8.97,6.72,2.58,107.28,103.49,9.46,1.90
Niraj Cement,532986,NIRAJ,Construction,29.50,117.46,48.27,81.50,2.55,2.07,251.87,45.30,4485.71,8.31,-3.07
Dhabriya Poly.,538715,,Plastics Products,108.50,117.44,3.49,-2.90,11.02,8.99,25.56,0.29,67.51,,
Shri Keshav,530977,,Cement - South India,97.60,117.08,17.56,34.80,9.03,-15.29,41.64,-15.94,616.00,21.62,22.16
TCI Industries,532262,,Miscellaneous,1300.00,117.00,-10.28,,-9.00,-10.46,587.50,99.68,93.48,6.38,4.28
