Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Praveg Comm.,531637,,Miscellaneous,159.75,295.28,-8.70,62.31,64.24,56.98,-24.00,30.19,-10.00,,36.25
Waterbase,523660,WATERBASE,Aquaculture,71.05,295.18,-6.23,-85.21,6.58,4.44,-14.33,-203.96,-135.36,20.05,-33.20
Gokul Refoils,532980,GOKUL,Solvent Extraction,29.85,295.00,11.60,43.05,9.17,7.59,31.16,-45.10,6.67,-6.44,8.41
Rudrabhish. Ent.,,REPL,Construction,170.10,294.94,13.69,19.64,20.57,16.60,-22.62,-102.67,-43.44,,14.95
Dr Agarwal's Eye,526783,,Healthcare,624.90,293.70,5.77,26.52,19.44,20.93,7.64,-4.18,292.57,23.95,31.16
Advani Hotels.,523269,ADVANIHOTR,Hotels,63.75,293.25,-9.94,-16.96,12.17,9.59,22.73,9.36,77.89,9.18,10.36
Zenotech Lab.,532039,,Pharmaceuticals - Indian - Formulations,48.00,292.95,41.04,108.67,7.95,16.60,7.26,-0.96,1096.61,6.15,16.37
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,11.55,292.49,-1.92,44.25,5.19,5.55,10.41,-34.98,343.56,-13.99,8.72
Sika Interplant,523606,,Engineering,689.00,292.14,29.30,58.42,26.67,19.71,-11.23,33.08,23.43,43.66,30.10
Amal,506597,,Dyes And Pigments,308.55,290.81,,,,,40.48,-74.58,-94.98,39.29,
Permanent Magnet,504132,PERMAGNET,Electronics - Components,337.80,290.51,2.34,8.83,38.62,29.17,4.38,-8.33,-5.76,40.59,26.33
Maral Overseas,521018,MARALOVER,Textiles - Cotton/Blended,68.55,290.48,12.65,101.80,15.42,20.34,54.64,-40.93,-50.00,21.68,55.88
SIL Investments,521194,SILINV,Finance & Investments,274.00,289.81,24.01,18.20,2.94,2.39,487.50,12280.88,727.81,14.89,12.35
Commerl. Synbags,539986,,Packaging,233.55,289.66,15.84,17.21,15.06,18.11,47.90,-23.08,35.57,,24.95
DHP India,531306,,Domestic Appliances,959.85,287.96,21.19,46.09,27.13,20.13,45.26,-17.67,53.79,41.40,25.90
Om Infra,531092,OMINFRAL,Engineering,30.00,286.95,13.72,18.79,6.49,2.75,7.90,-9.81,65.97,2.42,
Megasoft,532408,MEGASOFT,Computers - Software - Medium / Small,38.80,286.23,-5.39,69.60,3.59,0.94,-11.35,-1398.05,-810.53,15.18,-21.41
Muthoot Cap.Serv,511766,MUTHOOTCAP,Finance & Investments,172.95,286.06,-8.48,,8.30,-4.04,-1.48,-420.35,-1793.04,9.56,
Pasupati Acrylon,500456,PASUPTAC,Textiles - Manmade,32.05,285.23,-2.04,18.78,22.82,15.65,44.43,-91.16,-85.50,21.01,23.57
Amrit Corp,507525,,Food - Processing - Indian,937.95,284.97,-4.79,5.01,3.67,3.42,25.97,-49.43,-155.08,10.81,1.01
